,Name,EMI,Price,Kilometers Driven,Owner,Year of Purchase,Fuel Type,Location,History
87,2020 Maruti S PRESSO,"₹9,934/month","₹4,46,599","5,894 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
88,2013 Maruti Swift,"₹6,836/month","₹3,07,299","43,265 km",3rd Owner,November 2013,Petrol,NOIDA,Non-Accidental
89,2013 Hyundai i10,"₹7,307/month","₹3,28,499","21,921 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
90,2018 Maruti Alto 800,"₹6,740/month","₹3,02,999","19,405 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
91,2019 Maruti Alto K10,"₹8,622/month","₹3,87,599","16,224 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
92,2017 Maruti Baleno,"₹11,385/month","₹5,11,799","12,117 km",2nd Owner,September 2017,Petrol,NOIDA,Non-Accidental
93,2018 Datsun Redi Go,"₹8,084/month","₹3,63,399","23,791 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
94,2012 Maruti Alto K10,"₹4,182/month","₹1,88,000","50,067 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
95,2013 Honda Brio,"₹7,007/month","₹3,15,000",-,-,-,-,-,-
96,2016 Maruti Celerio,"₹9,125/month","₹4,10,199","17,543 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
97,2020 Maruti Alto,"₹8,331/month","₹3,74,499","11,520 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
98,2020 KIA SONET,"₹27,692/month","₹12,44,899","3,421 km",1st Owner,September 2020,Petrol,NOIDA,Non-Accidental
99,2012 Maruti Swift,"₹7,089/month","₹3,18,699","47,140 km",1st Owner,December 2012,Diesel,NOIDA,Non-Accidental
100,2013 Maruti Ertiga,"₹10,130/month","₹4,55,399","22,566 km",1st Owner,-,Diesel,NOIDA,Non-Accidental
101,2019 Maruti Alto K10,"₹8,847/month","₹3,97,699","8,574 km",1st Owner,January 2019,Petrol,NOIDA,Non-Accidental
102,2014 Maruti Wagon R 1.0,"₹7,356/month","₹3,30,699","28,512 km",1st Owner,August 2014,Petrol,NOIDA,Non-Accidental
103,2016 Hyundai Grand i10,"₹9,948/month","₹4,47,199","35,756 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
104,2010 Maruti Ritz,"₹5,363/month","₹2,41,099","54,953 km",1st Owner,June 2010,Petrol,NOIDA,Non-Accidental
105,2017 Maruti Alto K10,"₹7,616/month","₹3,42,399","28,704 km",1st Owner,May 2017,Petrol,NOIDA,Non-Accidental
